CCLE_ID,Lineage,GDSC_MSI,CCLE_MSI,DRIVE_WRN_D2,CRISPR_WRN_CERES,avg_WRN_dep,is_WRN_dep,TP53_status,common_MSI_lineage,ms_deletions_normed,frac_deletions_in_ms_regions,MMR_loss,MMR_loss_gene,MLH1_damaging_mut,MLH1_unexpressed,MLH1_deletion,MLH1_loss,MSH2_damaging_mut,MSH2_unexpressed,MSH2_deletion,MSH2_loss,MSH6_damaging_mut,MSH6_unexpressed,MSH6_deletion,MSH6_loss,PMS2_damaging_mut,PMS2_unexpressed,PMS2_deletion,PMS2_loss,MSH2_RPPA_low,MSH6_RPPA_low,any_MMR_mut,POLE_damaging_mut,POLE_hotspot_mut,POLE_other_mut,Comments
P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,leukemia,MSI-H,MSI,NA,-0.341651392,-0.341651392,FALSE,TP53_null,FALSE,9734.055723,0.667996173,TRUE,PMS2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,
SNGM_ENDOMETRIUM,endometrium,MSI-H,MSI,-0.340143067,-1.015328009,-0.677735538,TRUE,TP53_proficient,TRUE,19110.26951,0.760153463,FALSE,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,
SNUC2A_LARGE_INTESTINE,colorectal,NA,MSI,-2.62308098,NA,-2.62308098,TRUE,TP53_null,TRUE,31025.61128,0.815988072,FALSE,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,
HEC151_ENDOMETRIUM,endometrium,NA,MSI,NA,-1.047139379,-1.047139379,TRUE,TP53_proficient,TRUE,34447.6546,0.79339221,FALSE,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,
SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,leukemia,MSS/MSI-L,MSI,NA,0.188472246,0.188472246,FALSE,TP53_null,FALSE,15511.63325,0.722526027,TRUE,multiple,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,
SKUT1_SOFT_TISSUE,soft tissue,MSI-H,MSI,NA,-0.76544187,-0.76544187,TRUE,TP53_null,FALSE,18623.03815,0.763966487,TRUE,MSH2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,
OC316_OVARY,ovary,NA,MSI,NA,NA,NaN,NA,TP53_null,TRUE,18883.9007,0.744783919,FALSE,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,TRUE,FALSE,FALSE,FALSE,
CW2_LARGE_INTESTINE,colorectal,MSI-H,MSI,-2.225777785,NA,-2.225777785,TRUE,TP53_proficient,TRUE,26285.63357,0.768045893,TRUE,MLH1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,
SNU324_PANCREAS,pancreas,NA,MSI,NA,NA,NaN,NA,TP53_proficient,FALSE,16733.44514,0.733928449,FALSE,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,
HEC1B_ENDOMETRIUM,endometrium,NA,MSI,NA,-0.012400382,-0.012400382,FALSE,TP53_proficient,TRUE,14264.48788,0.702611394,TRUE,multiple,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
